id,location,latitude,longitude,area_sqm,bedrooms,bathrooms,toilets,stories,house_type,furnishing,condition,parking_spaces,distance_to_city_center_km,proximity_to_main_road_km,security_rating,infrastructure_quality,electricity_stability,water_supply,neighborhood_prestige,desirability_score,price_naira,is_outlier,outlier_reason
1010,Alalubosa,7.392488,3.855366,306,3,4,4,2,Duplex,Furnished,Renovated,1,3.9,1.85,5.5,8.9,8.6,8.5,4,4.3,57500000,False,
1011,Agodi GRA,7.413174,3.88795,362,4,4,4,1,Bungalow,Semi-Furnished,Old,3,7.9,1.57,8.7,9.4,9.0,8.5,4,4.7,130200000,False,
1012,Oluyole Estate,7.353599,3.856755,378,4,5,6,2,Duplex,Furnished,New,1,9.0,2.34,6.1,9.2,8.7,8.2,4,4.2,67900000,False,
1013,Oluyole Estate,7.361957,3.861489,310,4,3,3,1,Bungalow,Semi-Furnished,Renovated,2,7.5,2.35,7.6,5.9,4.4,8.4,4,4.2,38800000,False,
1014,Jericho,7.411851,3.899914,153,2,2,2,1,Bungalow,Semi-Furnished,New,3,5.6,2.18,7.3,8.8,9.0,9.6,4,4.8,59800000,False,
1015,Jericho,7.39749,3.894365,524,5,5,5,2,Detached House,Furnished,New,4,2.9,1.0,6.2,9.8,7.6,10.0,4,4.8,183900000,False,
1016,Agodi GRA,7.422697,3.892885,490,5,5,7,3,Detached House,Furnished,Renovated,3,8.6,1.93,9.9,10.0,6.2,8.4,4,4.7,205500000,False,
1017,Iyaganku GRA,7.38181,3.867607,443,4,4,4,1,Detached House,Unfurnished,New,2,7.0,2.01,4.3,10.0,8.9,9.7,4,4.6,159400000,False,
1018,Akobo,7.385095,3.910043,301,3,3,4,1,Bungalow,Unfurnished,Renovated,1,12.2,2.86,7.0,6.4,8.3,6.6,3,3.5,18800000,False,
1019,Bodija,7.443464,3.916202,487,4,4,4,2,Detached House,Unfurnished,New,3,8.7,1.08,10.0,8.3,9.0,10.0,5,5.0,121500000,False,
1020,Iyaganku GRA,7.392431,3.873254,258,3,4,5,2,Duplex,Unfurnished,New,2,3.3,0.27,8.7,9.0,7.0,7.5,4,4.6,112300000,False,
1021,Agodi GRA,7.38931,3.893513,361,3,4,5,2,Duplex,Unfurnished,New,4,7.3,0.48,6.2,8.3,9.0,8.1,4,4.7,175200000,False,
1022,Bodija,7.436757,3.91768,203,2,3,3,1,Bungalow,Furnished,New,4,10.0,1.94,10.0,10.0,6.7,10.0,5,5.0,91800000,False,
1023,Iyaganku GRA,7.37195,3.854081,388,4,3,3,1,Bungalow,Semi-Furnished,New,2,2.8,1.86,9.4,7.9,7.0,9.8,4,4.6,182200000,False,
1024,Alalubosa,7.373897,3.858223,193,2,3,4,1,Terraced House,Unfurnished,Renovated,2,4.8,2.45,6.8,9.0,7.7,6.8,4,4.3,33700000,False,
1025,Oluyole Estate,7.355538,3.85082,143,2,2,2,1,Terraced House,Furnished,Renovated,1,10.3,0.86,7.5,7.3,7.2,8.8,4,4.2,22700000,False,
1026,Akobo,7.390098,3.92964,233,2,1,2,1,Bungalow,Semi-Furnished,Renovated,1,7.9,0.59,6.6,6.1,5.8,6.6,3,3.5,19700000,False,
1027,Challenge,7.32957,3.874985,190,3,3,4,1,Flat,Unfurnished,Renovated,1,15.3,1.69,7.0,6.4,3.0,5.9,3,3.8,9100000,False,
1028,Alalubosa,7.397313,3.867346,335,4,5,7,1,Bungalow,Furnished,New,3,4.0,2.27,9.6,9.2,5.6,9.5,4,4.3,79800000,False,
1029,Akobo,7.398772,3.923817,263,2,3,3,1,Bungalow,Unfurnished,Old,1,12.5,1.24,5.6,8.9,5.4,5.9,3,3.5,16600000,False,
1030,Samonda,7.435854,3.910938,381,5,5,6,1,Bungalow,Unfurnished,Old,1,9.1,2.01,9.0,4.0,3.5,4.1,3,3.2,24600000,False,
1031,Apete,7.445855,3.86796,342,4,5,6,1,Bungalow,Unfurnished,Old,1,14.1,0.93,5.5,6.4,3.6,4.3,2,2.8,11200000,False,
1032,Bodija,7.428684,3.905274,488,4,5,6,2,Duplex,Furnished,New,3,7.7,1.82,10.0,9.7,5.8,9.5,5,5.0,184500000,False,
1033,Oluyole Estate,7.359833,3.865028,218,2,2,3,1,Bungalow,Furnished,New,2,7.0,0.25,4.6,7.6,6.5,6.6,4,4.2,34800000,False,
1034,Iyaganku GRA,7.390102,3.872442,326,3,4,5,2,Duplex,Furnished,Renovated,3,4.8,0.11,10.0,10.0,6.5,10.0,4,4.6,168000000,False,
1035,Bodija,7.436346,3.910555,333,4,4,4,2,Detached House,Furnished,Renovated,2,7.8,2.76,9.2,10.0,9.0,9.9,5,5.0,152400000,False,
1036,Akobo,7.407606,3.921874,278,3,4,4,1,Bungalow,Unfurnished,Old,1,12.7,0.33,7.3,9.3,6.7,6.4,3,3.5,14000000,False,
1037,Jericho,7.38789,3.886032,388,4,4,6,2,Duplex,Unfurnished,Renovated,3,6.1,1.35,7.5,7.3,9.0,8.6,4,4.8,90600000,False,
1038,Bodija,7.434395,3.902615,464,4,5,5,2,Duplex,Semi-Furnished,Renovated,4,7.2,1.6,9.7,10.0,9.0,9.9,5,5.0,152700000,False,
1039,Apete,7.445289,3.873487,336,3,3,3,1,Bungalow,Unfurnished,New,1,19.3,1.35,5.4,5.8,3.1,4.0,2,2.8,12600000,False,
1040,Bodija,7.432174,3.916938,323,4,5,6,1,Detached House,Unfurnished,Old,3,9.9,2.13,8.3,8.2,7.7,10.0,5,5.0,73400000,False,
1041,Oluyole Estate,7.367581,3.855458,277,3,4,5,2,Duplex,Semi-Furnished,New,2,7.1,2.21,9.2,7.6,7.1,8.6,4,4.2,35100000,False,
1042,Alalubosa,7.374355,3.872649,442,3,4,6,2,Duplex,Unfurnished,New,2,3.9,1.65,10.0,6.8,5.5,6.7,4,4.3,100800000,False,
1043,Iyaganku GRA,7.397648,3.87971,379,4,3,3,1,Bungalow,Unfurnished,New,3,3.0,0.16,8.9,7.3,8.1,10.0,4,4.6,198100000,False,
1044,Oluyole Estate,7.363383,3.856035,217,3,3,3,1,Terraced House,Semi-Furnished,Renovated,1,6.2,0.56,9.3,9.1,6.3,9.1,4,4.2,22500000,False,
1045,Oluyole Estate,7.356456,3.841432,413,4,5,5,1,Detached House,Unfurnished,Renovated,3,5.5,0.89,7.5,9.8,5.2,6.9,4,4.2,38900000,False,
1046,Oluyole Estate,7.360645,3.859939,349,5,5,5,2,Detached House,Furnished,Renovated,1,6.0,2.41,6.4,9.4,6.4,6.9,4,4.2,54400000,False,
1047,Agodi GRA,7.400418,3.896936,345,4,5,6,1,Detached House,Unfurnished,New,3,6.1,2.15,7.8,9.1,6.1,6.1,4,4.7,161300000,False,
1048,Agodi GRA,7.393993,3.906629,473,4,4,5,3,Detached House,Semi-Furnished,Renovated,3,8.0,0.58,9.0,10.0,8.9,10.0,4,4.7,247900000,False,
1049,Agodi GRA,7.397509,3.889858,369,4,5,5,1,Bungalow,Semi-Furnished,New,3,6.3,1.47,10.0,10.0,9.0,8.2,4,4.7,150800000,False,
1050,Bodija,7.42786,3.916099,404,4,5,5,2,Duplex,Furnished,Renovated,2,10.3,0.77,10.0,8.7,9.0,10.0,5,5.0,154200000,False,
1051,Bodija,7.449135,3.909734,357,4,3,4,3,Detached House,Furnished,New,4,6.5,2.92,10.0,10.0,8.7,9.5,5,5.0,153100000,False,
1052,Akobo,7.40306,3.905602,319,3,4,4,1,Bungalow,Semi-Furnished,Old,1,15.0,0.35,6.5,7.2,4.1,8.0,3,3.5,20000000,False,
1053,Agodi GRA,7.408162,3.879898,338,4,3,3,3,Detached House,Furnished,Renovated,3,5.7,2.61,7.5,8.9,9.0,9.6,4,4.7,177600000,False,
1054,Samonda,7.41493,3.911022,183,3,4,4,1,Bungalow,Unfurnished,Renovated,1,7.0,2.65,8.2,6.0,6.7,6.2,3,3.2,20000000,False,
1055,Samonda,7.418148,3.91546,188,2,2,2,1,Bungalow,Unfurnished,Renovated,1,11.9,2.47,4.2,6.0,7.4,4.8,3,3.2,13500000,False,
1056,Challenge,7.345099,3.872937,275,4,5,5,1,Bungalow,Unfurnished,New,1,13.9,1.31,8.5,6.6,5.2,6.9,3,3.8,12100000,False,
1057,Challenge,7.340519,3.864631,365,4,3,4,1,Bungalow,Unfurnished,Old,0,13.0,0.48,6.2,5.1,5.0,7.0,3,3.8,12600000,False,
1058,Akobo,7.400566,3.911165,188,2,1,1,1,Terraced House,Semi-Furnished,Old,1,10.2,2.33,7.0,5.9,6.1,8.7,3,3.5,12700000,False,
1059,Oluyole Estate,7.362787,3.862987,448,4,5,5,2,Duplex,Unfurnished,New,1,5.9,1.28,7.8,7.6,8.1,7.7,4,4.2,59800000,False,
1060,Jericho,7.399905,3.891615,405,5,4,6,1,Detached House,Furnished,Renovated,4,5.7,0.9,7.6,7.7,6.0,10.0,4,4.8,153900000,False,
1061,Samonda,7.421499,3.896837,163,3,3,4,1,Terraced House,Semi-Furnished,New,1,9.7,2.24,8.7,4.2,5.5,5.2,3,3.2,17600000,False,
1062,Challenge,7.332689,3.863818,267,2,1,2,1,Bungalow,Unfurnished,New,1,15.7,1.01,10.0,8.0,4.1,7.2,3,3.8,10400000,False,
1063,Alalubosa,7.383235,3.857405,369,4,5,5,2,Duplex,Semi-Furnished,Old,1,3.6,1.04,7.5,5.2,7.5,6.8,4,4.3,76800000,False,
1064,Alalubosa,7.376076,3.870197,218,3,2,2,1,Bungalow,Unfurnished,Old,3,5.3,0.15,7.6,8.1,6.3,7.6,4,4.3,40600000,False,
1065,Oluyole Estate,7.358009,3.865604,324,4,3,3,1,Bungalow,Furnished,Renovated,2,6.8,1.04,7.1,8.9,6.4,7.0,4,4.2,47700000,False,
1066,Oluyole Estate,7.355924,3.853781,168,2,1,1,2,Terraced House,Unfurnished,New,3,9.9,2.98,8.5,8.6,6.8,8.6,4,4.2,29500000,False,
1067,Samonda,7.421531,3.923578,97,2,3,4,1,Flat,Unfurnished,Old,1,5.7,2.71,5.7,4.0,3.0,4.0,3,3.2,9700000,False,
1068,Bodija,7.415476,3.914695,421,4,4,6,1,Detached House,Semi-Furnished,Renovated,3,11.0,1.06,7.8,9.0,9.0,10.0,5,5.0,121400000,False,
1069,Jericho,7.405448,3.889028,583,5,4,4,3,Detached House,Unfurnished,Renovated,2,7.7,2.03,9.5,7.9,8.9,9.4,4,4.8,128600000,False,
1070,Agodi GRA,7.392912,3.889165,257,3,3,3,1,Bungalow,Semi-Furnished,New,2,5.9,1.97,8.8,9.5,3.8,9.3,4,4.7,102300000,False,
1071,Agodi GRA,7.394662,3.891162,573,6,5,5,1,Detached House,Semi-Furnished,New,4,6.8,2.89,8.6,7.7,9.0,9.1,4,4.7,230000000,False,
1072,Akobo,7.391173,3.917158,162,2,2,3,1,Flat,Unfurnished,Old,2,9.1,2.03,7.5,5.6,6.7,7.7,3,3.5,10700000,False,
1073,Bodija,7.430706,3.923886,594,6,5,5,2,Detached House,Furnished,Renovated,3,10.0,2.79,10.0,10.0,6.7,8.7,5,5.0,192000000,False,
1074,Challenge,7.325933,3.882534,277,4,3,4,2,Terraced House,Furnished,Renovated,1,11.2,2.0,6.5,6.3,4.6,6.1,3,3.8,21400000,False,
1075,Agodi GRA,7.399144,3.899692,533,5,4,5,2,Detached House,Furnished,Old,2,5.3,1.16,10.0,6.6,7.0,8.4,4,4.7,254600000,False,
1076,Bodija,7.436708,3.902065,566,5,4,5,3,Detached House,Unfurnished,Old,2,7.3,0.29,7.4,10.0,9.0,10.0,5,5.0,149900000,False,
1077,Iyaganku GRA,7.390026,3.873474,533,6,5,6,3,Detached House,Unfurnished,Old,4,2.0,1.19,10.0,9.1,7.6,9.4,4,4.6,194900000,False,
1078,Bodija,7.451169,3.905414,338,4,5,5,1,Bungalow,Semi-Furnished,New,3,6.5,0.78,9.4,8.8,9.0,10.0,5,5.0,122800000,False,
1079,Bodija,7.428203,3.909157,328,5,4,5,1,Detached House,Furnished,New,3,10.1,1.45,10.0,10.0,9.0,10.0,5,5.0,107000000,False,
1080,Agodi GRA,7.403833,3.903617,434,4,5,6,1,Detached House,Semi-Furnished,New,3,2.8,2.94,10.0,9.0,4.5,8.2,4,4.7,256600000,False,
1081,Bodija,7.446373,3.908218,312,4,5,5,1,Bungalow,Unfurnished,New,4,6.6,1.52,10.0,8.7,9.0,10.0,5,5.0,107800000,False,
1082,Alalubosa,7.388182,3.85326,370,3,2,3,2,Duplex,Unfurnished,New,1,3.6,0.6,8.1,9.3,5.4,9.5,4,4.3,70000000,False,
1083,Jericho,7.395104,3.872496,439,4,5,6,2,Duplex,Unfurnished,Old,4,7.7,2.65,7.2,7.8,6.8,8.6,4,4.8,84100000,False,
1084,Agodi GRA,7.416396,3.89138,292,4,5,7,1,Bungalow,Semi-Furnished,New,4,4.9,1.85,10.0,8.5,7.5,8.5,4,4.7,176500000,False,
1085,Samonda,7.449211,3.901418,349,4,5,6,1,Bungalow,Furnished,Renovated,1,11.3,1.1,7.6,4.7,6.9,5.7,3,3.2,29100000,False,
1086,Agodi GRA,7.414426,3.905592,375,4,3,4,1,Bungalow,Semi-Furnished,New,4,2.0,2.97,8.9,8.3,8.3,8.7,4,4.7,199900000,False,
1087,Jericho,7.409311,3.894396,293,3,3,3,1,Bungalow,Semi-Furnished,New,3,8.6,2.94,8.9,10.0,4.8,8.6,4,4.8,83400000,False,
1088,Oluyole Estate,7.359799,3.877343,310,3,3,4,2,Duplex,Unfurnished,Renovated,1,9.9,1.84,5.6,8.4,6.6,8.2,4,4.2,30600000,False,
1089,Iyaganku GRA,7.386698,3.882959,349,4,5,5,1,Detached House,Furnished,New,3,7.0,0.92,10.0,7.9,9.0,10.0,4,4.6,218800000,False,
1090,Iyaganku GRA,7.388419,3.868928,318,3,2,4,2,Duplex,Semi-Furnished,New,3,2.0,1.48,10.0,8.3,8.3,9.2,4,4.6,137900000,False,
1091,Samonda,7.429796,3.905233,270,3,2,3,1,Terraced House,Unfurnished,Renovated,1,10.8,2.99,6.4,4.0,5.4,5.0,3,3.2,23800000,False,
1092,Oluyole Estate,7.362457,3.840108,212,3,3,3,1,Bungalow,Semi-Furnished,Renovated,1,12.5,1.8,6.9,8.7,6.6,8.0,4,4.2,21800000,False,
1093,Bodija,7.435682,3.910765,186,2,2,3,1,Bungalow,Unfurnished,New,3,7.5,0.62,10.0,8.6,6.7,10.0,5,5.0,70300000,False,
1094,Akobo,7.41106,3.901977,280,2,1,2,1,Terraced House,Unfurnished,Renovated,2,11.0,1.53,8.1,6.7,8.2,7.2,3,3.5,18500000,False,
1095,Akobo,7.393933,3.915919,86,2,1,3,1,Mini Flat,Semi-Furnished,Renovated,0,10.5,1.33,4.9,7.3,9.0,7.9,3,3.5,5600000,False,
1096,Samonda,7.440917,3.892799,262,3,2,2,2,Terraced House,Unfurnished,Old,1,10.5,1.43,5.4,4.0,6.6,5.4,3,3.2,15000000,False,
1097,Bodija,7.425401,3.919085,400,3,2,2,2,Duplex,Furnished,Renovated,4,8.7,0.89,9.5,10.0,9.0,10.0,5,5.0,143700000,False,
1098,Iyaganku GRA,7.415095,3.866575,401,3,3,4,2,Duplex,Furnished,Renovated,4,2.0,0.87,10.0,10.0,7.6,9.5,4,4.6,192800000,False,
1099,Bodija,7.432968,3.917281,365,4,4,5,1,Detached House,Furnished,New,2,5.8,1.56,9.8,9.7,9.0,10.0,5,5.0,143500000,False,
1100,Akobo,7.407884,3.917865,368,4,3,4,1,Bungalow,Unfurnished,New,2,10.4,2.39,4.9,6.7,3.0,7.9,3,3.5,28000000,False,
1101,Bodija,7.442353,3.915555,475,4,4,6,2,Duplex,Semi-Furnished,Renovated,2,9.4,0.41,10.0,10.0,9.0,10.0,5,5.0,158500000,False,
1102,Challenge,7.334623,3.863062,172,2,1,1,1,Flat,Semi-Furnished,New,1,14.1,2.57,4.4,8.4,3.9,5.8,3,3.8,5100000,False,
1103,Bodija,7.429908,3.913886,569,6,5,5,1,Detached House,Semi-Furnished,Renovated,4,10.8,2.34,10.0,10.0,9.0,9.1,5,5.0,130400000,False,
1104,Oluyole Estate,7.360625,3.855112,308,3,3,5,2,Duplex,Unfurnished,Old,2,10.2,2.0,6.6,8.2,6.7,7.4,4,4.2,36600000,False,
1105,Oluyole Estate,7.347461,3.871662,189,2,1,2,2,Terraced House,Furnished,Renovated,3,4.3,0.21,7.3,7.2,7.4,8.1,4,4.2,28100000,False,
1106,Oluyole Estate,7.347495,3.862986,281,3,2,3,2,Terraced House,Semi-Furnished,Renovated,2,7.3,0.72,8.5,9.0,5.7,10.0,4,4.2,29600000,False,
1107,Agodi GRA,7.419759,3.90191,213,2,2,3,1,Bungalow,Semi-Furnished,Renovated,3,5.9,2.82,9.6,8.2,7.0,9.6,4,4.7,111400000,False,
1108,Oluyole Estate,7.362578,3.840476,338,4,5,5,1,Bungalow,Unfurnished,Old,1,6.8,2.96,8.3,8.2,9.0,8.0,4,4.2,30900000,False,
1109,Agodi GRA,7.39998,3.90671,586,6,5,5,1,Detached House,Semi-Furnished,Renovated,3,4.9,0.52,10.0,8.8,7.4,10.0,4,4.7,277300000,False,
1110,Bodija,7.427941,3.924828,523,5,4,4,2,Detached House,Unfurnished,New,4,3.5,1.68,10.0,9.2,6.0,10.0,5,5.0,185200000,False,
1111,Iyaganku GRA,7.394357,3.874517,412,4,5,6,2,Duplex,Semi-Furnished,New,2,5.5,2.25,10.0,10.0,8.2,9.1,4,4.6,248900000,False,
1112,Oluyole Estate,7.365094,3.87247,401,4,5,6,2,Duplex,Furnished,New,3,9.1,2.35,7.6,7.3,7.1,6.7,4,4.2,73700000,False,
1113,Jericho,7.410181,3.892501,424,4,5,6,2,Detached House,Semi-Furnished,Renovated,3,5.2,2.31,9.6,6.6,6.4,9.0,4,4.8,186500000,False,
1114,Oluyole Estate,7.359476,3.855602,412,4,3,4,2,Detached House,Furnished,Old,2,4.4,0.28,7.7,7.0,4.9,7.9,4,4.2,43600000,False,
1115,Oluyole Estate,7.371855,3.839643,303,3,4,5,2,Duplex,Unfurnished,Renovated,1,7.9,1.38,7.8,7.8,6.6,7.7,4,4.2,42300000,False,
1116,Alalubosa,7.386425,3.865353,380,4,4,4,2,Duplex,Semi-Furnished,Renovated,1,5.7,2.51,6.6,8.0,9.0,9.0,4,4.3,77400000,False,
1117,Akobo,7.399765,3.921438,169,1,1,2,1,Flat,Semi-Furnished,Old,1,10.8,0.13,4.8,6.2,3.0,7.3,3,3.5,14500000,False,
1118,Agodi GRA,7.397622,3.89741,471,4,5,5,3,Detached House,Semi-Furnished,Old,4,4.7,0.15,7.5,10.0,8.1,7.9,4,4.7,172300000,False,
1119,Agodi GRA,7.411981,3.910112,467,5,5,6,2,Duplex,Semi-Furnished,New,3,6.7,1.49,10.0,8.4,9.0,10.0,4,4.7,257700000,False,
1120,Agodi GRA,7.404103,3.899414,418,4,4,4,2,Detached House,Furnished,New,2,2.6,2.22,9.3,9.8,5.7,10.0,4,4.7,280600000,False,
1121,Iyaganku GRA,7.390703,3.856439,386,3,3,4,2,Duplex,Semi-Furnished,New,3,3.1,1.32,10.0,8.4,8.5,9.7,4,4.6,169300000,False,
1122,Agodi GRA,7.407168,3.897328,320,4,3,3,1,Detached House,Semi-Furnished,New,2,2.7,0.65,8.8,8.4,4.5,8.4,4,4.7,177000000,False,
1123,Bodija,7.431146,3.911902,276,3,3,4,1,Bungalow,Unfurnished,Old,3,6.0,0.82,10.0,9.6,9.0,10.0,5,5.0,52600000,False,
1124,Agodi GRA,7.414374,3.907161,407,4,5,6,3,Detached House,Semi-Furnished,Renovated,4,7.1,1.02,8.5,8.5,6.3,9.4,4,4.7,208800000,False,
1125,Samonda,7.43751,3.892036,242,3,3,4,1,Terraced House,Unfurnished,New,1,10.6,1.94,4.8,6.4,8.0,6.9,3,3.2,21100000,False,
1126,Akobo,7.40341,3.915055,145,1,2,3,1,Flat,Unfurnished,New,1,10.8,1.09,8.2,7.0,7.3,6.1,3,3.5,11900000,False,
1127,Iyaganku GRA,7.4007,3.873348,498,5,5,6,1,Detached House,Semi-Furnished,Old,2,5.9,0.73,8.3,9.2,7.4,9.0,4,4.6,272100000,False,
1128,Agodi GRA,7.415239,3.891476,465,4,5,7,2,Detached House,Semi-Furnished,Old,4,5.8,0.43,9.5,9.0,6.5,10.0,4,4.7,167800000,False,
1129,Alalubosa,7.370889,3.850984,395,3,4,5,2,Duplex,Unfurnished,Old,2,3.0,1.8,10.0,6.8,7.1,8.6,4,4.3,78300000,False,
1130,Bodija,7.435181,3.918833,260,3,2,4,2,Duplex,Semi-Furnished,Renovated,2,5.9,0.57,10.0,9.1,9.0,10.0,5,5.0,77900000,False,
1131,Agodi GRA,7.390694,3.910846,578,5,4,5,1,Detached House,Unfurnished,New,2,2.0,0.61,10.0,7.5,8.3,9.9,4,4.7,232100000,False,
1132,Agodi GRA,7.406508,3.898303,338,3,3,4,2,Duplex,Furnished,Renovated,2,3.5,2.94,10.0,8.9,4.8,10.0,4,4.7,166100000,False,
1133,Apete,7.449894,3.870906,227,3,4,4,1,Terraced House,Unfurnished,New,1,17.0,1.31,5.0,6.6,3.4,4.8,2,2.8,13000000,False,
1134,Akobo,7.401384,3.906489,307,4,3,3,1,Bungalow,Unfurnished,Old,1,10.2,2.46,6.6,4.3,6.7,6.9,3,3.5,15900000,False,
1135,Bodija,7.431241,3.930786,458,4,4,6,2,Duplex,Furnished,New,3,9.0,1.28,10.0,10.0,7.7,10.0,5,5.0,175600000,False,
1136,Samonda,7.444623,3.906714,244,3,2,3,2,Terraced House,Unfurnished,Renovated,0,14.1,2.09,7.7,4.8,6.0,5.4,3,3.2,19500000,False,
1137,Alalubosa,7.388452,3.869476,258,4,5,6,1,Bungalow,Unfurnished,New,1,3.0,0.58,7.1,6.6,9.0,7.3,4,4.3,61800000,False,
1138,Iyaganku GRA,7.369787,3.869564,489,4,5,5,1,Detached House,Semi-Furnished,Renovated,2,2.0,0.58,8.7,8.5,8.1,7.5,4,4.6,187400000,False,
1139,Iyaganku GRA,7.388521,3.867229,327,4,4,5,2,Duplex,Furnished,New,2,2.4,2.55,8.6,9.6,7.0,9.3,4,4.6,164200000,False,
1140,Jericho,7.411498,3.892342,385,4,5,6,1,Detached House,Semi-Furnished,New,2,8.6,2.42,10.0,7.3,9.0,8.8,4,4.8,120600000,False,
1141,Akobo,7.385323,3.915347,184,2,2,2,1,Flat,Unfurnished,Old,1,11.4,2.79,9.3,6.6,8.7,6.9,3,3.5,11000000,False,
1142,Alalubosa,7.390289,3.84098,268,3,3,4,1,Bungalow,Furnished,Old,2,2.0,2.03,8.2,7.5,8.1,7.8,4,4.3,56200000,False,
1143,Oluyole Estate,7.374493,3.858172,443,4,3,3,2,Duplex,Unfurnished,Renovated,1,7.6,0.6,7.0,9.2,7.9,9.2,4,4.2,55400000,False,
1144,Agodi GRA,7.414485,3.900618,257,3,4,4,1,Bungalow,Semi-Furnished,New,2,5.7,2.38,8.2,9.4,9.0,9.7,4,4.7,170100000,False,
1145,Apete,7.459304,3.876703,278,4,4,4,1,Bungalow,Unfurnished,Renovated,2,19.0,1.43,4.0,4.0,5.9,5.9,2,2.8,14100000,False,
1146,Bodija,7.44154,3.92073,312,3,2,2,2,Duplex,Semi-Furnished,Renovated,4,7.6,1.22,10.0,10.0,6.6,9.0,5,5.0,92100000,False,
1147,Oluyole Estate,7.367637,3.849396,316,4,5,6,1,Bungalow,Unfurnished,New,1,7.3,2.6,7.9,9.0,9.0,5.6,4,4.2,35800000,False,
1148,Agodi GRA,7.398848,3.906148,363,4,4,5,1,Detached House,Unfurnished,New,4,7.7,2.5,10.0,8.7,9.0,7.0,4,4.7,163500000,False,
1149,Jericho,7.404544,3.883245,258,3,3,4,2,Duplex,Unfurnished,Renovated,3,6.7,0.87,10.0,8.5,9.0,8.8,4,4.8,65400000,False,
1150,Agodi GRA,7.385849,3.907976,367,3,2,3,2,Duplex,Unfurnished,Renovated,2,4.6,1.76,6.2,9.1,7.7,9.7,4,4.7,115800000,False,
1151,Samonda,7.428218,3.902519,205,2,2,3,2,Terraced House,Furnished,Renovated,0,9.6,1.93,6.3,5.3,8.1,5.0,3,3.2,12200000,False,
1152,Oluyole Estate,7.349474,3.849101,334,3,3,4,1,Bungalow,Unfurnished,Renovated,2,6.7,1.22,8.8,7.4,5.4,8.1,4,4.2,34600000,False,
1153,Alalubosa,7.388512,3.854975,377,4,5,5,2,Duplex,Unfurnished,Renovated,2,2.9,1.95,7.3,7.8,7.2,8.6,4,4.3,77100000,False,
1154,Samonda,7.42415,3.899339,297,3,4,5,1,Bungalow,Unfurnished,Old,0,8.0,0.92,9.5,5.9,7.2,6.8,3,3.2,24300000,False,
1155,Samonda,7.435636,3.911076,197,2,2,2,2,Terraced House,Furnished,Renovated,1,8.7,2.21,6.8,5.2,3.0,7.8,3,3.2,23500000,False,
1156,Samonda,7.429739,3.897564,308,3,2,3,1,Bungalow,Unfurnished,Renovated,1,10.4,2.3,6.0,6.9,5.0,6.1,3,3.2,21800000,False,
1157,Bodija,7.435923,3.9042,513,5,4,6,3,Detached House,Furnished,New,2,8.0,0.67,10.0,7.6,8.3,9.3,5,5.0,142700000,False,
1158,Alalubosa,7.367017,3.875033,406,4,3,4,2,Duplex,Unfurnished,Renovated,1,2.0,2.8,9.0,6.8,9.0,8.1,4,4.3,84900000,False,
1159,Jericho,7.405061,3.882128,331,2,1,1,1,Bungalow,Semi-Furnished,Renovated,2,5.6,0.65,9.0,8.9,9.0,7.0,4,4.8,86100000,False,
1160,Iyaganku GRA,7.394541,3.867957,281,3,2,4,1,Bungalow,Furnished,Old,4,2.5,0.57,5.6,8.7,6.4,9.3,4,4.6,119200000,False,
1161,Akobo,7.39941,3.916445,295,3,2,2,1,Bungalow,Unfurnished,Renovated,1,11.4,0.61,7.5,8.5,5.1,6.4,3,3.5,14600000,False,
1162,Iyaganku GRA,7.401838,3.868472,476,5,5,6,3,Detached House,Semi-Furnished,New,3,2.7,2.53,7.5,9.8,8.0,8.6,4,4.6,258300000,False,
1163,Oluyole Estate,7.367796,3.848358,570,5,5,5,3,Detached House,Furnished,New,1,9.3,1.71,7.5,7.2,5.2,9.1,4,4.2,58000000,False,
1164,Agodi GRA,7.393578,3.90491,369,4,3,3,2,Detached House,Furnished,New,2,6.2,2.38,10.0,10.0,9.0,9.6,4,4.7,254000000,False,
1165,Samonda,7.428122,3.913622,165,3,2,4,1,Terraced House,Unfurnished,Old,2,3.6,1.33,5.2,4.0,3.6,5.6,3,3.2,16500000,False,
1166,Bodija,7.443401,3.923381,338,4,5,5,1,Bungalow,Semi-Furnished,New,3,8.4,2.46,8.1,10.0,7.3,10.0,5,5.0,108500000,False,
1167,Iyaganku GRA,7.395963,3.874069,343,4,3,5,2,Detached House,Unfurnished,Renovated,3,4.7,0.26,10.0,8.2,9.0,8.8,4,4.6,149100000,False,
1168,Akobo,7.389246,3.92824,186,2,3,3,1,Flat,Furnished,Old,1,10.6,2.74,7.8,7.4,7.6,7.8,3,3.5,19900000,False,
1169,Apete,7.454132,3.867402,251,3,3,3,1,Bungalow,Unfurnished,New,1,17.5,0.23,4.0,4.0,5.7,4.0,2,2.8,8600000,False,
1170,Agodi GRA,7.404888,3.896472,195,2,2,2,1,Bungalow,Furnished,New,2,3.7,1.3,9.2,6.9,9.0,7.6,4,4.7,98400000,False,
1171,Agodi GRA,7.402202,3.898765,393,4,5,7,2,Detached House,Furnished,New,3,4.5,1.62,10.0,10.0,9.0,7.0,4,4.7,252600000,False,
1172,Akobo,7.395879,3.909908,217,2,2,2,1,Bungalow,Unfurnished,Renovated,1,13.1,1.51,7.2,7.2,7.6,4.8,3,3.5,11700000,False,
