location,latitude,longitude,area_sqm,bedrooms,bathrooms,toilets,stories,house_type,furnishing,condition,parking_spaces,distance_to_city_center_km,proximity_to_main_road_km,security_rating,infrastructure_quality,electricity_stability,water_supply,neighborhood_prestige,desirability_score,price_naira
Oluyole Estate,7.377608,3.853188,138,2,2,2,2,Terraced House,Unfurnished,Renovated,2,8.4,2.04,8.2,7.0,9.0,7.1,4,4.2,19100000
Iyaganku GRA,7.398192,3.880365,331,4,4,4,2,Detached House,Furnished,New,2,6.5,2.03,4.9,9.5,5.5,7.8,4,4.6,202200000
Samonda,7.426769,3.905163,88,2,2,3,1,Mini Flat,Semi-Furnished,Renovated,0,8.0,0.7,6.4,6.1,4.7,5.7,3,3.2,7900000
Bodija,7.427686,3.908811,405,4,3,5,1,Detached House,Furnished,New,3,5.4,2.65,10.0,10.0,7.9,10.0,5,5.0,152300000
Samonda,7.425374,3.905633,172,2,3,4,1,Flat,Unfurnished,Old,2,10.1,0.22,7.8,4.9,5.5,5.1,3,3.2,10900000
Agodi GRA,7.393993,3.906629,473,4,4,5,3,Detached House,Semi-Furnished,Renovated,3,8.0,0.58,9.0,10.0,8.9,10.0,4,4.7,247900000
Bodija,7.439457,3.921516,339,3,2,2,2,Duplex,Semi-Furnished,Renovated,4,8.5,1.85,8.7,10.0,9.0,10.0,5,5.0,91700000
Oluyole Estate,7.374276,3.850407,258,3,3,3,1,Bungalow,Unfurnished,Old,1,5.2,2.06,9.1,7.6,5.6,7.6,4,4.2,23900000
Alalubosa,7.380883,3.858807,459,4,5,6,2,Duplex,Unfurnished,Renovated,1,2.2,1.65,4.2,7.6,9.0,8.2,4,4.3,94800000
Bodija,7.427529,3.912429,351,4,4,6,1,Detached House,Unfurnished,New,2,8.9,2.49,8.3,8.9,8.4,10.0,5,5.0,130500000
Alalubosa,7.381233,3.864394,452,4,3,3,2,Duplex,Furnished,Renovated,3,2.5,1.35,10.0,6.7,8.4,8.9,4,4.3,81100000
Jericho,7.409632,3.883438,268,2,1,2,1,Bungalow,Furnished,Renovated,2,4.7,1.84,10.0,9.2,7.8,8.8,4,4.8,81300000
Jericho,7.414323,3.889224,427,5,4,6,1,Detached House,Furnished,Renovated,4,4.7,0.63,7.6,9.0,7.6,9.6,4,4.8,156300000
Jericho,7.410224,3.887472,254,3,2,2,2,Duplex,Furnished,Renovated,3,8.5,1.29,10.0,9.0,6.5,8.5,4,4.8,92100000
Bodija,7.449135,3.909734,357,4,3,4,3,Detached House,Furnished,New,4,6.5,2.92,10.0,10.0,8.7,9.5,5,5.0,153100000
Jericho,7.403919,3.886745,361,4,5,7,1,Bungalow,Furnished,Renovated,4,3.4,1.41,10.0,8.0,7.5,8.4,4,4.8,109200000
Alalubosa,7.395001,3.861667,168,2,2,2,1,Bungalow,Semi-Furnished,Renovated,1,5.3,0.74,7.1,9.1,7.0,6.7,4,4.3,21200000
Bodija,7.43128,3.911757,345,4,5,5,1,Detached House,Semi-Furnished,Renovated,3,5.8,0.16,10.0,9.4,9.0,10.0,5,5.0,128400000
Akobo,7.398661,3.937802,191,2,1,1,1,Bungalow,Unfurnished,New,2,11.2,2.43,5.0,6.5,7.0,8.5,3,3.5,17600000
Alalubosa,7.380508,3.856291,131,2,1,2,1,Terraced House,Semi-Furnished,New,1,2.0,0.13,9.3,7.8,6.3,6.7,4,4.3,32600000
Alalubosa,7.374214,3.868061,379,3,4,4,1,Bungalow,Unfurnished,New,1,2.0,2.71,7.7,7.9,7.5,7.5,4,4.3,48500000
Bodija,7.415476,3.914695,421,4,4,6,1,Detached House,Semi-Furnished,Renovated,3,11.0,1.06,7.8,9.0,9.0,10.0,5,5.0,121400000
Agodi GRA,7.409227,3.910354,285,3,3,4,2,Duplex,Semi-Furnished,New,3,9.5,1.72,10.0,8.3,7.5,9.7,4,4.7,164500000
Oluyole Estate,7.368646,3.855,363,5,4,5,1,Bungalow,Furnished,Renovated,3,2.0,2.43,6.2,8.7,4.4,9.7,4,4.2,38400000
Apete,7.445651,3.886809,282,3,2,3,1,Terraced House,Furnished,New,1,16.2,0.46,6.3,4.6,6.8,5.6,2,2.8,12300000
Iyaganku GRA,7.374708,3.871468,244,3,3,5,1,Bungalow,Unfurnished,Renovated,3,6.5,1.99,10.0,9.4,9.0,10.0,4,4.6,104200000
Alalubosa,7.373439,3.856856,286,3,3,4,1,Bungalow,Unfurnished,Renovated,3,3.5,2.59,9.6,5.7,5.6,7.5,4,4.3,44500000
Alalubosa,7.385129,3.864545,586,5,4,4,3,Detached House,Unfurnished,Renovated,1,4.9,2.53,10.0,7.7,7.1,8.8,4,4.3,107400000
Jericho,7.396654,3.869042,330,4,3,4,2,Detached House,Unfurnished,Renovated,3,6.4,2.97,10.0,8.8,5.7,8.6,4,4.8,78400000
Agodi GRA,7.405264,3.905082,200,3,4,4,1,Bungalow,Unfurnished,New,2,4.1,2.31,9.1,10.0,9.0,10.0,4,4.7,120800000
Akobo,7.394086,3.912452,80,1,2,3,1,Mini Flat,Unfurnished,New,2,9.6,1.76,5.8,6.4,6.0,6.5,3,3.5,7500000
Challenge,7.335764,3.87389,185,1,2,3,1,Flat,Semi-Furnished,New,1,10.5,2.96,9.5,8.1,6.6,7.7,3,3.8,10000000
Oluyole Estate,7.381771,3.851067,157,2,2,2,2,Terraced House,Semi-Furnished,Renovated,1,11.3,2.84,6.4,7.9,5.6,8.4,4,4.2,16900000
Bodija,7.420361,3.919914,374,3,2,4,2,Duplex,Furnished,Renovated,4,6.9,0.97,10.0,10.0,7.8,10.0,5,5.0,148700000
Akobo,7.409003,3.915891,267,3,3,3,1,Bungalow,Semi-Furnished,Old,1,12.1,1.45,5.7,6.6,9.0,7.6,3,3.5,19800000
Oluyole Estate,7.363433,3.85676,297,3,2,3,1,Bungalow,Furnished,New,2,7.0,0.73,7.8,9.4,7.4,9.2,4,4.2,53800000
Oluyole Estate,7.36074,3.854425,394,4,3,4,2,Duplex,Unfurnished,Old,3,9.5,2.64,6.7,8.9,7.7,7.7,4,4.2,41900000
Jericho,7.396498,3.890792,446,5,5,5,2,Duplex,Furnished,Renovated,3,8.0,0.27,7.5,9.3,4.9,10.0,4,4.8,145200000
Oluyole Estate,7.373162,3.859717,271,4,4,4,2,Terraced House,Unfurnished,Renovated,2,7.0,2.07,9.9,7.8,7.8,8.2,4,4.2,32500000
Bodija,7.429094,3.922054,544,6,5,5,2,Detached House,Unfurnished,New,4,10.9,0.11,7.9,9.9,9.0,9.6,5,5.0,134300000
Jericho,7.413764,3.890508,468,5,4,6,2,Duplex,Semi-Furnished,Renovated,2,5.7,1.77,8.9,10.0,9.0,9.3,4,4.8,142700000
Bodija,7.427898,3.90394,323,4,4,6,2,Detached House,Semi-Furnished,New,2,8.5,2.55,10.0,10.0,9.0,10.0,5,5.0,112100000
Challenge,7.325933,3.882534,277,4,3,4,2,Terraced House,Furnished,Renovated,1,11.2,2.0,6.5,6.3,4.6,6.1,3,3.8,21400000
Agodi GRA,7.40295,3.910536,455,5,4,4,3,Detached House,Unfurnished,Renovated,4,2.6,1.13,10.0,9.2,7.2,10.0,4,4.7,216000000
Alalubosa,7.387368,3.868735,193,2,1,2,1,Terraced House,Furnished,Renovated,2,2.0,0.16,9.7,9.0,4.8,7.9,4,4.3,41300000
Jericho,7.397984,3.882041,304,3,2,3,2,Duplex,Furnished,Renovated,2,6.7,1.4,7.9,9.7,9.0,8.6,4,4.8,94200000
Agodi GRA,7.40853,3.890415,420,4,3,3,3,Detached House,Semi-Furnished,Renovated,4,9.3,0.17,9.7,8.1,7.8,9.0,4,4.7,154500000
Akobo,7.39639,3.906227,158,2,1,2,2,Terraced House,Semi-Furnished,Old,0,10.8,0.14,7.5,7.5,3.8,6.9,3,3.5,12800000
Samonda,7.452206,3.909873,262,4,5,6,1,Bungalow,Unfurnished,Old,1,11.6,1.1,5.7,7.4,4.4,5.9,3,3.2,19400000
Oluyole Estate,7.376544,3.856377,153,2,2,2,1,Bungalow,Unfurnished,Renovated,1,6.4,1.28,9.7,8.1,5.1,8.6,4,4.2,24500000
Bodija,7.429908,3.913886,569,6,5,5,1,Detached House,Semi-Furnished,Renovated,4,10.8,2.34,10.0,10.0,9.0,9.1,5,5.0,130400000
Alalubosa,7.378281,3.86831,369,4,3,5,1,Detached House,Semi-Furnished,Old,2,3.1,1.89,6.6,9.5,5.9,7.2,4,4.3,59200000
Jericho,7.41089,3.894881,414,5,4,4,1,Detached House,Semi-Furnished,Renovated,3,3.3,0.22,8.6,7.5,5.8,7.4,4,4.8,155800000
Oluyole Estate,7.366005,3.866224,364,3,2,2,2,Duplex,Furnished,Renovated,2,10.6,2.38,9.1,7.5,5.3,8.1,4,4.2,39000000
Jericho,7.398985,3.883603,576,5,5,6,3,Detached House,Unfurnished,Old,3,8.9,2.72,10.0,6.0,3.1,7.8,4,4.8,138900000
Bodija,7.430692,3.916753,573,5,4,5,2,Detached House,Semi-Furnished,Renovated,3,9.5,0.54,8.8,9.7,8.2,10.0,5,5.0,173700000
Apete,7.435014,3.874062,173,3,2,2,2,Terraced House,Semi-Furnished,Renovated,2,15.1,2.1,6.5,5.0,3.0,6.0,2,2.8,9300000
Bodija,7.429108,3.924393,320,3,4,4,1,Bungalow,Unfurnished,New,3,11.4,0.51,8.3,10.0,8.2,8.3,5,5.0,121700000
Akobo,7.396913,3.939679,350,3,4,4,1,Bungalow,Unfurnished,Old,1,10.3,1.22,7.8,8.3,3.0,7.0,3,3.5,29500000
Apete,7.460577,3.862994,185,2,3,3,1,Bungalow,Semi-Furnished,Renovated,0,13.8,2.61,4.0,5.0,4.9,4.8,2,2.8,7300000
Agodi GRA,7.400525,3.895233,398,3,3,3,2,Duplex,Furnished,Renovated,4,3.3,2.79,9.9,9.6,9.0,9.6,4,4.7,236000000
Samonda,7.432218,3.905431,102,1,1,2,1,Flat,Unfurnished,Renovated,0,9.6,1.82,5.5,4.9,5.2,6.1,3,3.2,6600000
Oluyole Estate,7.361129,3.856926,263,2,1,1,1,Terraced House,Unfurnished,Renovated,1,7.5,1.46,8.0,9.6,9.0,7.6,4,4.2,16300000
Akobo,7.395666,3.922891,285,2,1,2,1,Terraced House,Semi-Furnished,Old,1,9.7,2.44,8.4,7.1,5.9,7.5,3,3.5,15600000
Oluyole Estate,7.368019,3.856301,457,4,4,4,2,Duplex,Semi-Furnished,New,1,6.4,0.68,9.0,9.3,7.4,7.2,4,4.2,80900000
Alalubosa,7.376848,3.866574,313,4,3,4,1,Bungalow,Unfurnished,New,1,6.5,1.76,4.8,8.6,4.6,9.2,4,4.3,49400000
Iyaganku GRA,7.395676,3.863644,340,4,3,3,1,Bungalow,Semi-Furnished,Renovated,3,6.3,2.15,10.0,9.5,9.0,8.2,4,4.6,128400000
Oluyole Estate,7.354897,3.859239,272,3,2,3,2,Duplex,Furnished,Renovated,2,3.9,1.11,8.3,6.5,7.3,7.5,4,4.2,32700000
Alalubosa,7.371891,3.862666,246,2,2,3,1,Terraced House,Unfurnished,Renovated,3,2.0,2.18,8.8,7.0,7.6,7.0,4,4.3,33300000
Alalubosa,7.386141,3.868677,282,3,3,4,2,Terraced House,Furnished,New,2,4.2,1.22,6.5,8.7,7.1,8.2,4,4.3,74700000
Oluyole Estate,7.374942,3.868142,176,3,4,5,1,Bungalow,Unfurnished,New,3,4.7,1.0,8.7,7.1,6.6,6.9,4,4.2,31100000
Oluyole Estate,7.360936,3.844822,287,4,4,4,2,Terraced House,Unfurnished,Renovated,2,5.3,2.98,6.2,7.0,9.0,6.2,4,4.2,53700000
Alalubosa,7.387639,3.839673,159,3,3,3,2,Terraced House,Semi-Furnished,Old,2,5.1,0.74,6.7,7.4,6.1,7.9,4,4.3,40300000
Samonda,7.43348,3.907353,145,2,3,4,1,Flat,Unfurnished,Old,1,8.6,0.57,6.1,6.0,6.6,6.4,3,3.2,11600000
Agodi GRA,7.402841,3.902343,369,4,4,4,3,Detached House,Semi-Furnished,New,3,2.0,1.5,8.4,7.6,7.6,8.0,4,4.7,226300000
Bodija,7.428387,3.913109,445,4,3,4,2,Duplex,Semi-Furnished,Renovated,2,7.0,1.34,10.0,10.0,8.1,9.4,5,5.0,114300000
Apete,7.44338,3.866406,223,2,2,2,1,Bungalow,Unfurnished,Old,2,15.3,2.35,4.9,7.0,3.0,4.0,2,2.8,5400000
Bodija,7.43901,3.917239,533,5,5,7,3,Detached House,Furnished,Renovated,3,5.2,2.85,8.4,8.7,9.0,10.0,5,5.0,173400000
Samonda,7.42498,3.913056,186,2,1,2,1,Flat,Unfurnished,Old,1,10.5,0.23,4.8,4.3,5.1,5.1,3,3.2,6500000
Akobo,7.395684,3.909963,166,2,1,1,1,Terraced House,Unfurnished,Old,1,13.2,2.15,8.8,6.4,5.4,6.7,3,3.5,13400000
Akobo,7.40571,3.921345,130,2,2,2,1,Terraced House,Unfurnished,Renovated,0,8.9,1.71,6.4,7.3,8.0,8.1,3,3.5,9500000
Samonda,7.43532,3.907414,354,4,4,4,1,Bungalow,Unfurnished,Renovated,2,8.5,2.71,4.9,7.4,3.0,6.2,3,3.2,29200000
Akobo,7.384201,3.914233,288,4,3,4,1,Bungalow,Semi-Furnished,Renovated,1,9.2,1.9,5.6,6.9,5.4,7.4,3,3.5,20300000
Oluyole Estate,7.379906,3.855222,536,5,5,6,1,Detached House,Unfurnished,New,2,8.4,1.48,8.9,8.4,5.2,8.0,4,4.2,56500000
Jericho,7.424175,3.88549,416,4,4,4,2,Duplex,Semi-Furnished,Old,3,6.0,2.51,10.0,10.0,9.0,10.0,4,4.8,131500000
Jericho,7.3979,3.890693,237,3,3,3,1,Bungalow,Unfurnished,New,2,7.0,1.21,7.5,7.2,5.6,7.9,4,4.8,73800000
Challenge,7.341429,3.868285,194,2,1,1,1,Terraced House,Unfurnished,Old,1,14.0,2.69,7.6,6.0,3.1,6.5,3,3.8,6600000
Iyaganku GRA,7.388361,3.87179,467,4,4,4,1,Detached House,Unfurnished,New,3,2.7,2.29,8.9,7.8,8.3,8.3,4,4.6,180800000
Samonda,7.429796,3.905233,270,3,2,3,1,Terraced House,Unfurnished,Renovated,1,10.8,2.99,6.4,4.0,5.4,5.0,3,3.2,23800000
Alalubosa,7.392591,3.846602,143,2,1,1,2,Terraced House,Unfurnished,Renovated,2,4.3,2.36,9.5,7.9,9.0,8.3,4,4.3,28200000
Iyaganku GRA,7.397491,3.867993,338,4,3,3,1,Detached House,Semi-Furnished,New,3,3.8,1.07,10.0,7.1,4.4,7.5,4,4.6,180500000
Bodija,7.442232,3.91105,183,2,3,4,1,Bungalow,Unfurnished,New,2,8.3,2.51,9.4,9.8,8.8,9.8,5,5.0,53600000
Agodi GRA,7.401677,3.893939,463,4,4,5,2,Duplex,Furnished,Renovated,2,8.1,1.92,8.4,8.6,8.5,9.9,4,4.7,230900000
Akobo,7.406909,3.934671,102,1,1,1,1,Flat,Unfurnished,Old,2,11.8,2.71,8.3,6.2,5.4,7.3,3,3.5,6400000
Samonda,7.444441,3.908213,115,1,2,2,1,Mini Flat,Unfurnished,Renovated,1,10.0,2.28,7.5,5.6,6.2,5.9,3,3.2,9200000
Challenge,7.337087,3.886402,89,1,2,2,1,Mini Flat,Furnished,Old,1,11.9,0.22,8.6,4.9,5.7,4.9,3,3.8,4600000
Oluyole Estate,7.361186,3.850139,484,4,5,6,2,Duplex,Semi-Furnished,Renovated,2,6.2,1.25,8.9,8.0,3.7,9.5,4,4.2,48400000
Bodija,7.434112,3.901314,301,3,3,4,2,Duplex,Semi-Furnished,New,2,13.2,2.71,10.0,9.0,9.0,8.9,5,5.0,114700000
Bodija,7.442055,3.927907,566,5,4,4,2,Detached House,Furnished,Old,4,10.7,0.1,9.9,10.0,6.5,10.0,5,5.0,206500000
Oluyole Estate,7.362787,3.862987,448,4,5,5,2,Duplex,Unfurnished,New,1,5.9,1.28,7.8,7.6,8.1,7.7,4,4.2,59800000
Alalubosa,7.386329,3.8567,285,3,3,4,1,Bungalow,Unfurnished,Renovated,2,2.0,1.87,9.9,8.0,6.9,8.9,4,4.3,51900000
Alalubosa,7.38236,3.856591,577,6,5,6,1,Detached House,Semi-Furnished,Renovated,2,3.3,1.2,10.0,7.0,7.4,8.6,4,4.3,110100000
Iyaganku GRA,7.389949,3.864975,596,6,5,5,1,Detached House,Semi-Furnished,Renovated,2,4.9,0.66,10.0,8.0,8.6,7.7,4,4.6,233600000
Alalubosa,7.398699,3.848801,266,3,4,4,2,Duplex,Semi-Furnished,Renovated,2,8.3,1.39,4.0,7.9,8.8,8.1,4,4.3,66300000
Bodija,7.440958,3.909121,444,4,4,5,2,Duplex,Semi-Furnished,Renovated,2,5.7,1.82,7.6,10.0,9.0,9.5,5,5.0,117300000
Akobo,7.406216,3.930874,119,2,3,3,1,Mini Flat,Unfurnished,Renovated,0,9.0,1.12,7.6,6.8,5.5,8.0,3,3.5,9400000
Challenge,7.340941,3.87328,190,2,1,1,2,Terraced House,Unfurnished,Renovated,1,12.0,0.9,6.6,4.5,6.9,4.6,3,3.8,5800000
Jericho,7.402834,3.880806,168,2,3,4,1,Bungalow,Furnished,New,3,8.2,0.38,8.7,10.0,5.5,9.0,4,4.8,75100000
Samonda,7.425479,3.911919,334,4,4,4,1,Bungalow,Unfurnished,Renovated,1,7.2,0.23,6.7,6.6,3.8,5.7,3,3.2,31900000
Challenge,7.342876,3.88285,59,1,1,2,1,Mini Flat,Unfurnished,Old,1,11.4,2.18,5.2,8.0,5.2,7.5,3,3.8,2500000
Bodija,7.435912,3.928326,584,5,4,4,1,Detached House,Unfurnished,Old,3,9.4,0.81,10.0,8.6,8.7,9.2,5,5.0,132400000
Bodija,7.439851,3.919023,537,4,3,3,2,Detached House,Furnished,Renovated,2,6.5,2.57,8.0,10.0,9.0,10.0,5,5.0,165000000
Jericho,7.40538,3.8854,439,4,3,3,2,Duplex,Semi-Furnished,New,4,4.9,0.97,7.8,7.2,9.0,9.0,4,4.8,150500000
Alalubosa,7.382633,3.868308,251,2,1,1,1,Bungalow,Semi-Furnished,Renovated,2,3.8,0.9,8.7,9.2,6.8,7.6,4,4.3,46200000
Bodija,7.445996,3.905935,457,4,4,4,2,Detached House,Semi-Furnished,Old,2,11.5,0.48,10.0,10.0,8.5,9.9,5,5.0,139200000
Samonda,7.425873,3.908004,102,2,2,3,1,Flat,Unfurnished,Renovated,1,10.3,0.58,4.7,4.2,7.1,7.3,3,3.2,6900000
Challenge,7.348201,3.89041,291,3,4,5,1,Terraced House,Unfurnished,Renovated,0,10.6,0.94,7.9,7.4,3.0,8.4,3,3.8,11000000
Jericho,7.418046,3.896354,448,5,4,5,2,Detached House,Semi-Furnished,Renovated,3,5.2,0.81,8.4,10.0,9.0,9.1,4,4.8,166900000
Iyaganku GRA,7.380175,3.875842,289,3,4,4,1,Bungalow,Semi-Furnished,Renovated,3,5.3,1.87,8.3,9.8,3.0,10.0,4,4.6,118500000
Jericho,7.40307,3.899482,325,3,2,2,1,Bungalow,Furnished,New,3,7.0,2.39,8.1,8.0,4.3,9.2,4,4.8,129000000
Alalubosa,7.383801,3.881909,313,3,2,3,2,Duplex,Semi-Furnished,Renovated,3,5.9,1.41,7.2,7.3,7.4,8.6,4,4.3,61600000
Agodi GRA,7.407382,3.908535,459,4,4,5,2,Duplex,Furnished,New,2,4.8,2.85,7.9,8.7,8.6,10.0,4,4.7,226900000
Jericho,7.39673,3.879874,466,4,5,6,2,Duplex,Unfurnished,Old,3,2.0,1.87,10.0,8.5,6.0,9.1,4,4.8,130000000
Akobo,7.40207,3.919784,99,1,1,2,1,Flat,Semi-Furnished,Old,0,10.3,2.59,5.8,7.1,5.4,6.7,3,3.5,5800000
Oluyole Estate,7.364362,3.850489,441,4,3,3,2,Duplex,Unfurnished,Renovated,3,10.4,0.82,10.0,10.0,7.7,8.8,4,4.2,54600000
Alalubosa,7.404079,3.856485,283,3,2,2,2,Duplex,Furnished,New,1,3.4,2.36,8.1,7.1,7.8,7.8,4,4.3,76000000
Samonda,7.429098,3.908228,326,3,3,3,1,Bungalow,Unfurnished,New,1,7.8,1.85,5.0,6.9,3.2,6.4,3,3.2,27500000
Challenge,7.336656,3.872182,295,4,4,5,1,Terraced House,Unfurnished,Old,1,10.5,2.51,7.5,6.7,6.8,7.5,3,3.8,17700000
Samonda,7.42762,3.917977,110,1,1,2,1,Mini Flat,Furnished,Old,0,11.8,0.91,7.6,4.8,5.5,5.8,3,3.2,7100000
Iyaganku GRA,7.391029,3.873542,571,5,5,5,2,Detached House,Furnished,New,2,4.1,1.68,10.0,7.7,9.0,7.8,4,4.6,249700000
Agodi GRA,7.404261,3.895729,385,4,4,4,3,Detached House,Unfurnished,New,4,6.2,0.97,8.5,9.2,4.7,10.0,4,4.7,203700000
Agodi GRA,7.415165,3.896185,169,2,1,2,1,Bungalow,Furnished,New,3,9.0,1.87,9.7,7.9,9.0,8.1,4,4.7,79600000
Alalubosa,7.373897,3.858223,193,2,3,4,1,Terraced House,Unfurnished,Renovated,2,4.8,2.45,6.8,9.0,7.7,6.8,4,4.3,33700000
Challenge,7.338784,3.89245,304,4,4,6,1,Bungalow,Unfurnished,Renovated,2,10.8,2.91,8.1,6.2,7.0,7.1,3,3.8,9900000
Challenge,7.334904,3.875136,185,3,4,5,1,Flat,Semi-Furnished,Renovated,0,10.9,1.5,7.9,7.6,4.4,7.7,3,3.8,7700000
Iyaganku GRA,7.389329,3.870653,251,3,3,3,2,Duplex,Furnished,New,3,4.1,0.37,10.0,8.9,6.0,10.0,4,4.6,153500000
Alalubosa,7.388333,3.851002,177,2,2,2,1,Terraced House,Unfurnished,Old,3,5.2,0.52,4.0,10.0,9.0,8.1,4,4.3,29400000
Alalubosa,7.382761,3.860149,334,4,3,3,1,Bungalow,Furnished,Renovated,3,5.6,2.1,4.7,7.7,9.0,8.6,4,4.3,75900000
Samonda,7.431382,3.921962,183,3,2,3,1,Flat,Semi-Furnished,Renovated,2,9.6,1.11,5.7,6.1,4.8,6.4,3,3.2,16400000
Bodija,7.448418,3.918794,412,4,3,3,3,Detached House,Unfurnished,Renovated,2,10.3,2.6,9.7,8.0,6.6,8.7,5,5.0,141200000
Agodi GRA,7.40856,3.893194,351,4,5,6,2,Detached House,Furnished,Renovated,2,2.2,1.57,8.3,8.6,5.3,9.8,4,4.7,159400000
Akobo,7.399798,3.917087,181,2,2,2,1,Bungalow,Unfurnished,Old,1,9.5,0.47,5.8,8.4,7.4,7.3,3,3.5,10800000
Jericho,7.40832,3.896152,416,4,3,4,3,Detached House,Furnished,Renovated,3,5.4,2.92,9.7,6.8,9.0,7.5,4,4.8,126800000
Challenge,7.339908,3.87896,308,3,3,4,1,Bungalow,Unfurnished,New,1,12.4,1.44,4.8,7.2,6.1,7.4,3,3.8,12900000
Bodija,7.442354,3.907122,500,5,5,6,1,Detached House,Unfurnished,New,3,7.7,2.5,10.0,9.6,9.0,10.0,5,5.0,117000000
Jericho,7.397979,3.879183,267,3,4,4,2,Duplex,Semi-Furnished,Renovated,3,5.9,2.12,7.7,7.7,9.0,8.7,4,4.8,85800000
Oluyole Estate,7.365375,3.869731,216,3,2,3,1,Terraced House,Unfurnished,Old,2,12.6,0.69,8.1,10.0,3.0,8.1,4,4.2,27200000
Akobo,7.396089,3.907598,112,2,3,4,1,Flat,Furnished,Old,1,12.8,0.65,4.4,5.5,5.8,6.4,3,3.5,13300000
Bodija,7.425264,3.915853,582,5,4,4,1,Detached House,Semi-Furnished,New,3,10.9,2.02,9.2,10.0,4.9,10.0,5,5.0,208900000
Alalubosa,7.375061,3.867261,522,5,5,6,2,Detached House,Unfurnished,Renovated,3,3.2,1.26,6.9,6.7,7.0,9.2,4,4.3,68700000
Alalubosa,7.368345,3.864321,492,5,4,5,2,Duplex,Unfurnished,Renovated,1,2.0,1.65,7.3,7.6,5.6,9.1,4,4.3,81700000
Jericho,7.391755,3.875655,445,5,4,4,2,Duplex,Semi-Furnished,New,3,8.2,1.06,7.3,10.0,7.0,7.7,4,4.8,134400000
Iyaganku GRA,7.388507,3.86715,427,4,4,4,2,Detached House,Unfurnished,New,3,7.7,2.8,10.0,10.0,9.0,8.3,4,4.6,222600000
Challenge,7.333142,3.885146,266,2,2,3,1,Terraced House,Semi-Furnished,Renovated,1,10.6,1.79,5.5,6.9,6.4,6.5,3,3.8,8800000
Bodija,7.435754,3.923073,305,3,4,4,2,Duplex,Semi-Furnished,New,2,10.1,1.84,10.0,9.7,9.0,10.0,5,5.0,122400000
Bodija,7.43077,3.929227,410,5,4,4,2,Detached House,Furnished,Renovated,3,6.3,0.18,8.3,9.6,9.0,10.0,5,5.0,138300000
Challenge,7.348488,3.880818,368,4,4,6,1,Bungalow,Unfurnished,Renovated,1,12.2,0.22,9.4,6.1,3.1,6.5,3,3.8,17300000
Bodija,7.437684,3.920763,475,5,5,7,2,Detached House,Unfurnished,Renovated,3,12.2,0.51,10.0,8.9,5.9,9.1,5,5.0,119600000
Alalubosa,7.367017,3.875033,406,4,3,4,2,Duplex,Unfurnished,Renovated,1,2.0,2.8,9.0,6.8,9.0,8.1,4,4.3,84900000
Akobo,7.393933,3.915919,86,2,1,3,1,Mini Flat,Semi-Furnished,Renovated,0,10.5,1.33,4.9,7.3,9.0,7.9,3,3.5,5600000
Jericho,7.39355,3.897316,428,3,4,5,2,Duplex,Furnished,Old,3,5.3,1.79,8.1,8.7,8.0,9.7,4,4.8,128500000
Alalubosa,7.377165,3.841133,169,2,1,1,2,Terraced House,Furnished,Old,2,2.4,0.38,8.4,9.1,7.2,9.4,4,4.3,41100000
Agodi GRA,7.403957,3.88882,229,2,2,2,1,Bungalow,Semi-Furnished,Renovated,3,11.7,2.11,7.6,8.0,7.1,8.4,4,4.7,87100000
Challenge,7.338864,3.874643,208,3,3,3,1,Terraced House,Unfurnished,Old,1,9.6,0.78,4.2,7.2,4.1,6.8,3,3.8,6800000
Oluyole Estate,7.360703,3.853484,390,3,4,4,2,Duplex,Furnished,Old,2,3.7,0.77,9.3,9.3,7.3,7.0,4,4.2,41900000
Oluyole Estate,7.365616,3.852935,348,3,2,3,2,Duplex,Unfurnished,New,2,6.3,1.86,9.0,7.9,7.0,8.6,4,4.2,45500000
Oluyole Estate,7.375546,3.854663,211,2,1,2,1,Terraced House,Semi-Furnished,Old,3,6.7,2.53,8.2,6.9,8.7,7.1,4,4.2,17200000
Akobo,7.392447,3.913427,208,3,2,2,1,Bungalow,Semi-Furnished,Renovated,1,9.3,0.73,5.4,5.8,4.7,7.9,3,3.5,10600000
Iyaganku GRA,7.394267,3.879763,457,3,3,3,2,Duplex,Semi-Furnished,New,4,6.3,1.99,7.9,8.9,9.0,8.8,4,4.6,215600000
Oluyole Estate,7.356862,3.857753,276,3,4,4,1,Bungalow,Semi-Furnished,New,1,6.0,2.56,6.4,8.7,6.2,8.1,4,4.2,45200000
Alalubosa,7.390329,3.870949,329,4,4,6,2,Duplex,Unfurnished,Old,3,2.0,0.78,10.0,6.9,8.2,8.2,4,4.3,61200000
Iyaganku GRA,7.384654,3.874308,456,4,3,4,2,Duplex,Furnished,New,4,2.1,2.16,9.0,8.7,7.9,10.0,4,4.6,245200000
Oluyole Estate,7.354065,3.862818,287,4,4,4,1,Bungalow,Furnished,New,2,8.4,2.86,7.7,8.6,4.4,7.4,4,4.2,52400000
Akobo,7.39238,3.923996,61,1,1,1,1,Mini Flat,Unfurnished,Renovated,2,10.8,1.9,6.8,4.5,3.0,4.9,3,3.5,5600000
Alalubosa,7.373928,3.855083,569,5,5,6,1,Detached House,Furnished,New,2,2.0,2.61,7.7,7.1,7.8,8.5,4,4.3,93500000
Oluyole Estate,7.363929,3.853383,296,2,1,2,1,Bungalow,Furnished,Renovated,2,8.3,0.24,7.9,10.0,5.7,8.6,4,4.2,38400000
